US House,RDH Tab,SOS Tot,Diff,,,,,,,,,,,,,,,,,,
GSL07DTEL,42272,42272,0,,,,,,,,,,,,,,,,,,
GSL07DTSO,51897,51897,0,,,,,,,,,,,,,,,,,,
GSL07RPAR,26897,26897,0,,,,,,,,,,,,,,,,,,
GSL07RPEE,25424,25424,0,,,,,,,,,,,,,,,,,,
GSL08DGIR,37384,37384,0,,,,,,,,,,,,,,,,,,
GSL08RCOO,45117,45117,0,,,,,,,,,,,,,,,,,,
GSL08RPRA,43799,43799,0,,,,,,,,,,,,,,,,,,
GSL09DFRI,64772,64772,0,,,,,,,,,,,,,,,,,,
GSL09DPOW,64781,64781,0,,,,,,,,,,,,,,,,,,
GSL09RLYO,48026,48026,0,,,,,,,,,,,,,,,,,,
GSL10DDEG,59725,59725,0,,,,,,,,,,,,,,,,,,
GSL10DSTA,59344,59344,0,,,,,,,,,,,,,,,,,,
GSL10RGUM,42795,42795,0,,,,,,,,,,,,,,,,,,
GSL10RHIC,46950,46950,0,,,,,,,,,,,,,,,,,,
GSL11DPER,61245,61245,0,,,,,,,,,,,,,,,,,,
GSL11RFIN,68101,68101,0,,,,,,,,,,,,,,,,,,
GSL11RROB,68805,68805,0,,,,,,,,,,,,,,,,,,
GSL12RGRA,93972,93972,0,,,,,,,,,,,,,,,,,,
GSL12RHOF,92941,92941,0,,,,,,,,,,,,,,,,,,
GSL13DSAN,47650,47650,0,,,,,,,,,,,,,,,,,,
GSL13RDUN,71049,71049,0,,,,,,,,,,,,,,,,,,
GSL13ROSB,69733,69733,0,,,,,,,,,,,,,,,,,,
GSL14DBEA,35289,35289,0,,,,,,,,,,,,,,,,,,
GSL14DMAE,32070,32070,0,,,,,,,,,,,,,,,,,,
GSL14RGRI,63170,63170,0,,,,,,,,,,,,,,,,,,
GSL14RNUT,62722,62722,0,,,,,,,,,,,,,,,,,,
GSL15DDYB,55259,55259,0,,,,,,,,,,,,,,,,,,
GSL15RKAI,71900,71900,0,,,,,,,,,,,,,,,,,,
GSL15RWIL,66482,66482,0,,,,,,,,,,,,,,,,,,
GSL16DHUN,47071,47071,0,,,,,,,,,,,,,,,,,,
GSL16RFIL,68760,68760,0,,,,,,,,,,,,,,,,,,
GSL16RPAR,74784,74784,0,,,,,,,,,,,,,,,,,,
GSL17DPAW,65172,65172,0,,,,,,,,,,,,,,,,,,
GSL17RHAR,63409,63409,0,,,,,,,,,,,,,,,,,,
GSL17RWEN,64501,64501,0,,,,,,,,,,,,,,,,,,
GSL18DEPS,67649,67649,0,,,,,,,,,,,,,,,,,,
GSL18DJER,70049,70049,0,,,,,,,,,,,,,,,,,,
GSL18RHAW,49298,49298,0,,,,,,,,,,,,,,,,,,
GSL18RROB,55140,55140,0,,,,,,,,,,,,,,,,,,
GSL19DESP,43372,43372,0,,,,,,,,,,,,,,,,,,
GSL19DSIE,38617,38617,0,,,,,,,,,,,,,,,,,,
GSL20DSCH,50633,50633,0,,,,,,,,,,,,,,,,,,
GSL20RBOL,49268,49268,0,,,,,,,,,,,,,,,,,,
GSL20RKER,47094,47094,0,,,,,,,,,,,,,,,,,,
GSL21DKNE,51047,51047,0,,,,,,,,,,,,,,,,,,
GSL21RPAY,53441,53441,0,,,,,,,,,,,,,,,,,,
GSL21RPIN,57803,57803,0,,,,,,,,,,,,,,,,,,
GSL22DGAR,53522,53522,0,,,,,,,,,,,,,,,,,,
GSL22DHON,48821,48821,0,,,,,,,,,,,,,,,,,,
GSL22RCAR,92231,92231,0,,,,,,,,,,,,,,,,,,
GSL22RTOM,92912,92912,0,,,,,,,,,,,,,,,,,,
GSL23DKUR,65257,65257,0,,,,,,,,,,,,,,,,,,
GSL23RCHA,80264,80264,0,,,,,,,,,,,,,,,,,,
GSL23RKAV,86307,86307,0,,,,,,,,,,,,,,,,,,
GSL24DLON,60233,60233,0,,,,,,,,,,,,,,,,,,
GSL24DSHA,61639,61639,0,,,,,,,,,,,,,,,,,,
GSL24RALG,23548,23548,0,,,,,,,,,,,,,,,,,,
GSL24RCUS,26099,26099,0,,,,,,,,,,,,,,,,,,
GSL25DHUG,46180,46180,0,,,,,,,,,,,,,,,,,,
GSL25RBOW,63412,63412,0,,,,,,,,,,,,,,,,,,
GSL25RUDA,69049,69049,0,,,,,,,,,,,,,,,,,,
GSL26DHER,46266,46266,0,,,,,,,,,,,,,,,,,,
GSL26DSAL,44981,44981,0,,,,,,,,,,,,,,,,,,
GSL26RLOU,21760,21760,0,,,,,,,,,,,,,,,,,,
GSL26RSIF,22316,22316,0,,,,,,,,,,,,,,,,,,
GSL27DBOL,43334,43334,0,,,,,,,,,,,,,,,,,,
GSL27DROD,48039,48039,0,,,,,,,,,,,,,,,,,,
GSL27RPEÑ,20236,20236,0,,,,,,,,,,,,,,,,,,
GSL28DBUT,60871,60871,0,,,,,,,,,,,,,,,,,,
GSL28DLIE,57760,57760,0,,,,,,,,,,,,,,,,,,
GSL28RBOW,49306,49306,0,,,,,,,,,,,,,,,,,,
GSL28RJAC,52839,52839,0,,,,,,,,,,,,,,,,,,
GSL29DAND,32075,32075,0,,,,,,,,,,,,,,,,,,
GSL29DCHA,38818,38818,0,,,,,,,,,,,,,,,,,,
GSL29RBRA,15811,15811,0,,,,,,,,,,,,,,,,,,
GSL29RFOK,15402,15402,0,,,,,,,,,,,,,,,,,,
GSL30DMEZ,30546,30546,0,,,,,,,,,,,,,,,,,,
GSL30DTER,34106,34106,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
SLDU,,,0,,,,,,,,,,,,,,,,,,
GSU01DCAR,40063,40063,0,,,,,,,,,,,,,,,,,,
GSU01RFAN,105712,105712,0,,,,,,,,,,,,,,,,,,
GSU02DGAB,52333,52333,0,,,,,,,,,,,,,,,,,,
GSU02RWOR,33463,33463,0,,,,,,,,,,,,,,,,,,
GSU03DGON,62785,62785,0,,,,,,,,,,,,,,,,,,
GSU04DOTO,41045,41045,0,,,,,,,,,,,,,,,,,,
GSU04RANG,32045,32045,0,,,,,,,,,,,,,,,,,,
GSU05RBOR,87558,87558,0,,,,,,,,,,,,,,,,,,
GSU06DFRE,55833,55833,0,,,,,,,,,,,,,,,,,,
GSU06RROG,67379,67379,0,,,,,,,,,,,,,,,,,,
GSU07DPES,68824,68824,0,,,,,,,,,,,,,,,,,,
GSU08DMCG,35963,35963,0,,,,,,,,,,,,,,,,,,
GSU08RSHO,50639,50639,0,,,,,,,,,,,,,,,,,,
GSU09DSTE,83482,83482,0,,,,,,,,,,,,,,,,,,
GSU10DENG,67320,67320,0,,,,,,,,,,,,,,,,,,
GSU10RWAD,47394,47394,0,,,,,,,,,,,,,,,,,,
GSU11DMEN,60818,60818,0,,,,,,,,,,,,,,,,,,
GSU11RLEA,72563,72563,0,,,,,,,,,,,,,,,,,,
GSU12DROB,59852,59852,0,,,,,,,,,,,,,,,,,,
GSU12RPET,96149,96149,0,,,,,,,,,,,,,,,,,,
GSU13RKER,93388,93388,0,,,,,,,,,,,,,,,,,,
GSU14DKAR,38829,38829,0,,,,,,,,,,,,,,,,,,
GSU14RGOW,67229,67229,0,,,,,,,,,,,,,,,,,,
GSU15RBAR,91249,91249,0,,,,,,,,,,,,,,,,,,
GSU16RTOW,94913,94913,0,,,,,,,,,,,,,,,,,,
GSU17DKUR,61363,61363,0,,,,,,,,,,,,,,,,,,
GSU17RMES,67889,67889,0,,,,,,,,,,,,,,,,,,
GSU18DBOW,75013,75013,0,,,,,,,,,,,,,,,,,,
GSU18RSHA,54066,54066,0,,,,,,,,,,,,,,,,,,
GSU19DCHA,53794,53794,0,,,,,,,,,,,,,,,,,,
GSU20DERV,48059,48059,0,,,,,,,,,,,,,,,,,,
GSU20RBOY,52734,52734,0,,,,,,,,,,,,,,,,,,
GSU21RGRA,75864,75864,0,,,,,,,,,,,,,,,,,,
GSU22DTYR,55653,55653,0,,,,,,,,,,,,,,,,,,
GSU22RLIV,97386,97386,0,,,,,,,,,,,,,,,,,,
GSU23DBLA,62115,62115,0,,,,,,,,,,,,,,,,,,
GSU23RUGE,89677,89677,0,,,,,,,,,,,,,,,,,,
GSU24DALS,66719,66719,0,,,,,,,,,,,,,,,,,,
GSU24RMIC,27402,27402,0,,,,,,,,,,,,,,,,,,
GSU25DWEI,44443,44443,0,,,,,,,,,,,,,,,,,,
GSU25RPAC,70046,70046,0,,,,,,,,,,,,,,,,,,
GSU26DMEN,49806,49806,0,,,,,,,,,,,,,,,,,,
GSU26RCHI,24385,24385,0,,,,,,,,,,,,,,,,,,
GSU27DRIO,57027,57027,0,,,,,,,,,,,,,,,,,,
GSU27RSHR,17087,17087,0,,,,,,,,,,,,,,,,,,
GSU28DMAR,60339,60339,0,,,,,,,,,,,,,,,,,,
GSU28RBRO,59842,59842,0,,,,,,,,,,,,,,,,,,
GSU29DQUE,41272,41272,0,,,,,,,,,,,,,,,,,,
GSU29RWIL,17305,17305,0,,,,,,,,,,,,,,,,,,
GSU30DNAV,42344,42344,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
SSC,,,0,,,,,,,,,,,,,,,,,,
G20SSCNOPE,679989,679989,0,,,,,,,,,,,,,,,,,,
G20SSCNOUL,790095,790095,0,,,,,,,,,,,,,,,,,,
G20SSCNRUT,617429,617429,0,,,,,,,,,,,,,,,,,,
G20SSCYOPE,1806530,1806530,0,,,,,,,,,,,,,,,,,,
G20SSCYOUL,1683460,1683460,0,,,,,,,,,,,,,,,,,,
G20SSCYRUT,1865552,1865552,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Primary,,,,,,,,,,,,,,,,,,,,,
Sources:,https://recorder.maricopa.gov/electionarchives/2020/08-04-2020%20-0%20Canvass%20COMPLETE%20AUG2020.pdf,https://azsos.gov/sites/default/files/2020_Primary_Canvass.pdf,,,,County Checks,,,,,,,,,,,,,,,
P20USS,,,0,,,Apache,Cochise,Coconino,Gila,Graham,Greenlee,La Paz,Maricopa,Mohave,Navajo,Pima,Pinal,Santa Cruz,Yavapai,Yuma,TOT
P20USSDKEL,665620,665927,-307,,PDF,9864,10540,19114,4311,1653,696,754,389971,10307,9557,142970,27151,6013,23438,9588,665927
,,,,,XML File,9864,10540,19114,4311,1653,696,754,389664,10307,9557,142970,27151,6013,23438,9588,665620
P20USSRMCC,181511,181667,-156,,PDF,1191,5362,2402,2199,1154,164,550,100469,6933,2922,32594,10286,639,11278,3524,181667
,,,,,XML File,1191,5362,2402,2199,1154,164,550,100313,6933,2922,32594,10286,639,11278,3524,181511
P20USSRMCS,551119,551401,-282,,PDF,2876,11611,8503,7514,3842,543,1800,331524,27852,8754,64361,30944,1213,39902,10162,551401
,,,,,XML File,2876,11611,8503,7514,3842,543,1800,331242,27852,8754,64361,30944,1213,39902,10162,551119
US House,,,0,,,,,,,,,,,,,,,,,,
PCON01DOHA,47083,47083,0,,,,,,,,,,,,,,,,,,
PCON01DPUT,33248,33248,0,,,,,,,,,,,,,,,,,,
PCON01RREI,33418,33418,0,,,,,,,,,,,,,,,,,,
PCON01RSHE,40310,40310,0,,,,,,,,,,,,,,,,,,
PCON02DKIR,77517,77517,0,,,,,,,,,,,,,,,,,,
PCON02DQUI,24035,24035,0,,,,,,,,,,,,,,,,,,
PCON02OWRI,0,52,-52,,,,,,,,,,,,,,,,,,
PCON02RMAR,31730,31730,0,,,,,,,,,,,,,,,,,,
PCON02RMOR,17802,17802,0,,,,,,,,,,,,,,,,,,
PCON02RRUD,25049,25049,0,,,,,,,,,,,,,,,,,,
PCON03DGRI,63282,63290,-8,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
PCON03OWRI,0,44,-44,,,,,,,,,,,,,,,,,,
PCON03RWOO,29260,29272,-12,,,,,,,,,,,,,,,,,,
PCON04DDIS,34345,34348,-3,,,,,,,,,,,,,,,,,,
PCON04DSTA,11852,11852,0,,,,,,,,,,,,,,,,,,
PCON04RGOS,82370,82376,-6,,,,,,,,,,,,,,,,,,
PCON04RWAR,48116,48118,-2,,,,,,,,,,,,,,,,,,
PCON05DGRE,34070,34090,-20,,,,,,,,,,,,,,,,,,
PCON05DIRE,7209,7214,-5,,,,,,,,,,,,,,,,,,
PCON05DRAM,26818,26828,-10,,,,,,,,,,,,,,,,,,
PCON05OWRI,0,465,-465,,,,,,,,,,,,,,,,,,
PCON05RBIG,104888,104969,-81,,,,,,,,,,,,,,,,,,
PCON06DGEN,3651,3657,-6,,,,,,,,,,,,,,,,,,
PCON06DMAL,29218,29238,-20,,,,,,,,,,,,,,,,,,
PCON06DRIM,4592,4601,-9,,,,,,,,,,,,,,,,,,
PCON06DTIP,42538,42566,-28,,,,,,,,,,,,,,,,,,
PCON06RSCH,94434,94526,-92,,,,,,,,,,,,,,,,,,
PCON07DGAL,56037,56108,-71,,,,,,,,,,,,,,,,,,
PCON07RBAR,15223,15245,-22,,,Maricopa,,,,,,,,,,,,,,,
PCON08DMUS,45473,35923,9550,,PDF,35923,,,,,,,,,,,,,,,
,,,,,XML,45473,,,,,,,,,,,,,,,
PCON08DOLS,20534,20547,-13,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
PCON08OWRI,0,45,-45,,,,,,,,,,,,,,,,,,
PCON08RLES,105630,105758,-128,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
PCON09DSTA,83443,83508,-65,,,,,,,,,,,,,,,,,,
PCON09RGIL,28461,28488,-27,,,,,,,,,,,,,,,,,,
PCON09RHUA,12527,12532,-5,,,,,,,,,,,,,,,,,,
PCON09RTUT,12053,12059,-6,,,,,,,,,,,,,,,,,,
